a,b,V0,R,C,k,mws_projection_fraction,mws_local_snr_dB,mws_peak_amplitude,mws_rough_frequency_Hz,mws_frequency_Hz,frequency_error_Hz,abs_frequency_error_Hz,original_projection_energy,original_energy_fraction,combined_score
1,0.8,0.8,1.6,0.12,0.32,0.0271964321689637,28.7861017550041,0.00836283487401589,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.12,0.48,0.0271941237433479,28.7858613850916,0.0125442520929543,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.12,0.7,0.027193248739387,28.7856647663052,0.0182936968466369,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.2,0.04,0.0369834025465254,28.9493698933409,0.00104253626816153,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.2,0.08,0.0319129662992434,28.9535625786602,0.00208834505902642,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.2,0.14,0.0299191592956579,28.9012113733613,0.00365689409520326,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.2,0.22,0.0290007384433028,28.8551115142755,0.00574824261731553,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.2,0.32,0.0285107029246331,28.8394516912228,0.00836152595514256,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.2,0.48,0.0281665491185522,28.8257269724705,0.0125426516772693,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.2,0.7,0.0279701365331611,28.8172706764789,0.0182917556953809,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.35,0.04,0.143549260520191,24.7533224857951,0.000361667725198136,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.35,0.08,0.134454486981058,26.4724303719501,0.00160161763363148,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.35,0.14,0.0922832465906632,27.9718437921922,0.0033913825354987,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.35,0.22,0.066082825591961,28.8572820208982,0.0056020726792353,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.35,0.32,0.0529128126115168,28.9146875021414,0.00826643227198773,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.35,0.48,0.0442396512215849,28.9863678852689,0.0124699026514325,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.35,0.7,0.0393811840207569,28.9681233045358,0.0182394932456871,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.6,0.04,0.133846208490973,27.7854373826618,0.000271948174546408,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.6,0.08,0.145545232790387,27.6104730340013,0.000360460879999707,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
